country,year,Urban_pct
Seychelles,2015,43.09480357
Thailand,2015,46.95210438
Turkiye,2015,87.2167108
USA,2015,80.57079895
Uzbekistan,2015,50.65973282
Viet Nam,2015,32.38109454
South Africa,2015,63.20963499
Australia,2016,87.01662952
Austria,2016,67.72180619
Belgium,2016,86.4507791
Bulgaria,2016,73.17500305
Brazil,2016,85.94870484
Canada,2016,81.30230111
Switzerland,2016,76.67266758
Chile,2016,87.63062906
China,2016,58.83992386
Colombia,2016,77.20362664
Costa Rica,2016,75.54230881
Cyprus,2016,66.96256041
Czech Republic,2016,72.97457534
Germany,2016,80.83478707
Denmark,2016,87.69999695
Spain,2016,79.36159553
Estonia,2016,68.72403818
Finland,2016,71.61583834
France,2016,78.59991147
United Kingdom,2016,82.02299917
Greece,2016,77.71229888
Croatia,2016,55.72943986
Hungary,2016,70.47338104
Indonesia,2016,53.81255722
India,2016,32.8650781
Ireland,2016,62.72293991
Iceland,2016,93.78226471
Israel,2016,91.68946236
Italy,2016,69.59692325
Jordan,2016,90.56272795
Japan,2016,91.45412549
Korea,2016,81.55592418
Lithuania,2016,67.18942261
Luxembourg,2016,91.53570901
Latvia,2016,67.93071109
Mexico,2016,77.44050874
Malaysia,2016,73.85889789
Netherlands,2016,90.58032395
Norway,2016,81.68000031
New Zealand,2016,84.69136559
Poland,2016,60.24022842
Portugal,2016,61.13430112
Romania,2016,53.5528172
Russia,2016,74.37031387
Slovakia,2016,53.73993271
Slovenia,2016,53.64727402
Sweden,2016,87.0
Seychelles,2016,43.28156325
Thailand,2016,47.88010956
Turkiye,2016,88.10209586
USA,2016,80.49766453
Uzbekistan,2016,50.65721893
Viet Nam,2016,32.84761893
South Africa,2016,63.27509734
Australia,2017,87.12809266
Austria,2017,67.90511961
Belgium,2017,86.67317395
Bulgaria,2017,73.39045715
Brazil,2017,86.19828976
Canada,2017,81.40189458
Switzerland,2017,77.91262737
Chile,2017,87.80002958
China,2017,60.24026871
Colombia,2017,77.22451917
Costa Rica,2017,76.05392543
Cyprus,2017,66.89074506
Czech Republic,2017,72.91218536
Germany,2017,80.9842544
Denmark,2017,88.01619438
Spain,2017,79.46632331
Estonia,2017,68.99319419
Finland,2017,71.95630383
France,2017,78.6467804
United Kingdom,2017,82.23065673
Greece,2017,77.88953426
Croatia,2017,55.90098874
Hungary,2017,70.45425415
Indonesia,2017,54.45410156
India,2017,33.18213282
Ireland,2017,62.90351965
Iceland,2017,93.77189823
Israel,2017,91.67010575
Italy,2017,69.51807843
Jordan,2017,90.87646097
Japan,2017,91.54984197
Korea,2017,81.47103043
Lithuania,2017,67.10129547
Luxembourg,2017,92.09637681
Latvia,2017,67.97068661
Mexico,2017,77.72069246
Malaysia,2017,74.23548064
Netherlands,2017,91.12197007
Norway,2017,81.96997459
New Zealand,2017,84.17010259
Poland,2017,60.1458882
Portugal,2017,61.12967265
Romania,2017,53.36486432
Russia,2017,74.46003681
Slovakia,2017,53.61260182
Slovenia,2017,55.24511337
Sweden,2017,87.23737379
